asin,userID,rating,Unnamed: 0.1,category,ratingCount,ratingAvg,pants,jeans,shirt,t-shirt,jacket,coat,hoodies,sweatshirts,blazer,sneaker,boot,oxford,blouseClean,skirtClean,tie
B0002FHJ66,A3ET6VOXWX0AWX,1,1368,menclothingactiveactive sweatshirts100 cottonpull closure8 ounce poly pill resistant air jet yarndouble needle stitchingdouble lined hood dyed match drawcord1x1 rib knit cuffs waistband spandexfront pouch,1961,4.453340132585415,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
B01968Z5YC,A2WYNP1ZGEOT0E,5,1251446,menclothingactiveactive hoodies,2,5.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
B00J0IUJAY,A3V71CNRWMNY0U,4,688544,menshoesfashion sneakers,9,3.7777777777777777,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
B00FJRDT7A,A2C5AWQKLYS6T6,4,565639,womenclothingsuiting blazerssuit sets100 polyesterdry onlyinset waisthead toe,2,4.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
B000OV99YS,A23EJWEIO14X9D,3,24049,menclothingpantscasual,1565,4.227476038338658,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B015SIKOPO,A1EJERC49AO34P,4,1171362,menclothingjackets coatslightweight jacketscotton,448,3.915178571428572,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
B007G51PQ0,A96UEYYBMA66K,4,286817,womenshoesbootsover knee100 syntheticrubber soleshaft archheel boot opening around,51,4.352941176470588,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
B00BV1N6G2,A1WQVQJ7BCHDLY,5,437387,womenclothingskirtsnight out95 spandexhand washimported,1,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
B01533BJ9Y,AZ2LFM7RFJRH2,5,1153236,womenclothingactivetrack active jackets,6,3.8333333333333335,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
B0116IG1KM,ASCZHHC3XKDAC,5,1092774,womenshoesfashion sneakers,224,4.401785714285714,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
B0083H248I,A390C7QUD15N0A,5,308627,menclothingactiveactive hoodies,26,4.461538461538462,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
B003EZVN5E,APTHD8K8B4ASQ,5,121285,menclothingactiveactive sweatshirts90 shirts closureheavyweight durable fleece 9 fleecepatented low pill stretch ribbed cuffs relaxed hem,193,4.129533678756476,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
B017BYJ8P0,A356WMSXDZFODL,5,1206896,womenclothingactiveactive pants2 side pocketsthe pants feature elastic waistband drawstring enclosure,29,3.4827586206896552,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B002B5TWF6,A12HB8Z6FSOK37,5,89926,womenuniforms work safetyclothingmedicalscrub jackets,123,4.447154471544716,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
B01C2PO9GG,A36CRI5663F20V,5,1315338,womenclothingskirtsnight out,160,3.8125,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
B00BF2G0PG,A2K62CQ9ZOJPAG,5,418835,womenshoesbootsankle bootie,86,4.569767441860465,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
B01F5W1B00,A26U067K2GQHKR,5,1394543,womenclothingactiveactive pants,64,3.90625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B00OKSC4XO,A3NHL2QX937SAV,5,867281,menshoesoxfords,313,4.178913738019169,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
B0058YIZ50,A2XAP3T8KPR3F4,5,198840,novelty moreclothingnoveltymenshirtst shirts,419,4.071599045346062,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
B01CYDYSNU,A3EHBGHH33MK4,5,1338191,womenclothingdressesclub night outimportedsexy bodycon midi bandage party club evening dressesdesign sheer zipper backgreat casual wear parties night out clubsstyle sexy club partysize refer chart,51,4.215686274509804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
